rownum,id,author,author-aux,author-orcid,booktitle,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,key,mdate,month,note,note-type,number,pages,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,chair,conference_keywords,conference_type,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,proceedings_keywords
178,225424,Hei Chan|Manabu Kuroki,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/chan10a.html,oa,,journals/jmlr/ChanK10,2019-05-29,,,,,73-80,,,,Using Descendants as Instrumental Variables for the Identification of Direct Causal Effects in Linear SEMs.,,,db/journals/jmlr/jmlrp9.html#ChanK10,,2010,Roland Seiffert|Robert A. Weida,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Robotics|Computational complexity,accept,Velit dolorem sed magnam dolorem sed labore tempora.,reject,Tempora dolor magnam adipisci quisquam est dolore consectetur.,Demo Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
179,225426,Garry P. Nolan|Karen Sachs|Mesrob I. Ohannessian|Munther A. Dahleh|Sleiman Itani,,,NIPS Causality: Objectives and Assessment,,,,conf/nips/2008coa,,,http://proceedings.mlr.press/v6/itani10a.html,oa,,journals/jmlr/ItaniOSND10,2019-05-29,,,,,165-176,,,,Recovering Cyclic Causal Structure.,,,db/journals/jmlr/jmlrp6.html#ItaniOSND10,,2010,Ilja L. Bongers|Steven Puylaert,Pavel Laskov|Ingrid Renz|Edward Lloyd Snelson,Computer graphics|Big data|Artificial intelligence|Distributed computing|Information theory,Workshop,Edward Lloyd Snelson,Cryptography|Computer vision,reject,Quisquam voluptatem est modi voluptatem sed est.,accept,Quiquia velit consectetur dolor amet sed non.,Demo Paper,Distributed computing|Cybersecurity|Machine learning
180,225428,Gerald Matz|Jeremy Jancsary,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/jancsary11a/jancsary11a.pdf,oa,,journals/jmlr/JancsaryM11,2019-05-29,,,,,388-398,,,,Convergent Decomposition Solvers for Tree-reweighted Free Energies.,,,db/journals/jmlr/jmlrp15.html#JancsaryM11,,2011,Alexandra Kapeller|Julian Nida-Rümelin,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,High-performance computing,reject,Dolorem non voluptatem aliquam dolorem.,reject,Dolorem amet porro consectetur tempora.,Short Paper,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
181,225437,Mark Rudelson|Shuheng Zhou,,,COLT,,,,conf/colt/2012,,,http://proceedings.mlr.press/v23/rudelson12/rudelson12.pdf,oa,,journals/jmlr/RudelsonZ12,2019-05-29,,,,,10.1-10.24,,,,Reconstruction from Anisotropic Random Measurements.,,,db/journals/jmlr/jmlrp23.html#RudelsonZ12,,2012,Sebastian Pintea|Donald D. Chamberlin,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Zsolt Minier,Quantum computing|Big data|Machine learning,accept,Dolor numquam dolore consectetur.,accept,Sed consectetur dolore numquam est quiquia voluptatem.,Full Paper,Information theory|Cloud computing|Cybersecurity|Cryptography|Artificial intelligence
182,225440,Florian Steinke|Koji Tsuda|Matthias W. Seeger,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/seeger07a.html,oa,,journals/jmlr/SeegerST07,2019-05-29,,,,,444-451,,,,Bayesian Inference and Optimal Design in the Sparse Linear Model.,,,db/journals/jmlr/jmlrp2.html#SeegerST07,,2007,Alexander Kaplan|Courtney E. Williams,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Quantum computing,reject,Est tempora quisquam quiquia quiquia ipsum tempora dolor.,accept,Velit numquam modi tempora.,Full Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
183,225441,Changhe Yuan|Marek J. Druzdzel,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/yuan07a.html,oa,,journals/jmlr/YuanD07,2019-05-29,,,,,652-659,,,,Importance Sampling for General Hybrid Bayesian Networks.,,,db/journals/jmlr/jmlrp2.html#YuanD07,,2007,Kamil Mamak|Niklas Ellerich-Groppe,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Information theory|Distributed computing,reject,Quiquia etincidunt quaerat numquam amet.,reject,Etincidunt dolor sed quisquam labore.,Short Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
184,225445,Bo Dai|Gang Niu 0001|Lin Shang 0001|Masashi Sugiyama,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/niu11b/niu11b.pdf,oa,,journals/jmlr/NiuDSS11,2021-09-27,,,,,561-569,,,,Maximum Volume Clustering.,,,db/journals/jmlr/jmlrp15.html#NiuDSS11,,2011,Jörg Heinrich|Chavonda Jacobs-Young,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Information theory|Algorithm analysis,reject,Etincidunt consectetur amet adipisci.,reject,Sit modi tempora etincidunt ut adipisci.,Poster,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
185,225458,Jarvis D. Haupt|Robert D. Nowak|Rui M. Castro,,,AISTATS,,,,conf/aistats/2009,,,http://proceedings.mlr.press/v5/haupt09a.html,oa,,journals/jmlr/HauptCN09,2019-05-29,,,,,216-223,,,,Distilled sensing: selective sampling for sparse signal recovery.,,,db/journals/jmlr/jmlrp5.html#HauptCN09,,2009,Kyle Powys Whyte|Catherine D'Ignazio,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Cybersecurity|Computer graphics|Machine learning,accept,Magnam numquam magnam amet quiquia.,accept,Porro etincidunt eius ipsum.,Demo Paper,Robotics|Human-computer interaction|Natural language processing|Quantum computing|Big data
186,225459,Isabelle Guyon|Robert C. Williamson|Ulrike von Luxburg,,,ICML Unsupervised and Transfer Learning,,,,conf/icml/2011utl,,,http://proceedings.mlr.press/v27/luxburg12a.html,oa,,journals/jmlr/LuxburgWG12,2019-05-29,,,,,65-80,,,,Clustering: Science or Art?,,,db/journals/jmlr/jmlrp27.html#LuxburgWG12,,2012,Simisola Akintoye|Michael W. Kalichman,Hirotaka Hachiya|Nathan Nan Liu|Jinwoo Shin,Machine learning|High-performance computing|Human-computer interaction,Regular,Jinwoo Shin,Computational complexity,accept,Labore porro consectetur neque.,reject,Porro etincidunt modi porro non.,Full Paper,High-performance computing|Robotics|Computer networks|Information theory
187,225464,Elad Hazan|Satyen Kale,,,COLT,,,,conf/colt/2011,,,http://proceedings.mlr.press/v19/hazan11a/hazan11a.pdf,oa,,journals/jmlr/HazanK11a,2019-05-29,,,,,421-436,,,,Beyond the regret minimization barrier: an optimal algorithm for stochastic strongly-convex optimization.,,,db/journals/jmlr/jmlrp19.html#HazanK11a,,2011,Julian Kinderlerer|Elaine S. Godfrey,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Michelle Pham,Distributed computing|Robotics|Machine learning,accept,Sit ipsum modi eius est.,accept,Quisquam aliquam quiquia numquam adipisci.,Demo Paper,Cloud computing|Cybersecurity|Algorithm analysis|Computer vision|Computer graphics
188,225466,Rahul Garg 0001|Rohit Khandekar,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/garg11a/garg11a.pdf,oa,,journals/jmlr/GargK11,2023-01-10,,,,,296-304,,,,Block-sparse Solutions using Kernel Block RIP and its Application to Group Lasso.,,,db/journals/jmlr/jmlrp15.html#GargK11,,2011,Peter H. Schmitt|María Luisa Martín Ruiz,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Cloud computing,accept,Consectetur amet adipisci sit sit aliquam.,reject,Velit dolorem quiquia etincidunt dolorem est.,Demo Paper,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
189,225474,Fabio Aiolli,,,ICML Unsupervised and Transfer Learning,,,,conf/icml/2011utl,,,http://proceedings.mlr.press/v27/aiolli12a.html,oa,,journals/jmlr/Aiolli12,2019-05-29,,,,,81-95,,,,Transfer Learning by Kernel Meta-Learning.,,,db/journals/jmlr/jmlrp27.html#Aiolli12,,2012,Maria Pina Dore|Mechthild Rickheit,Hirotaka Hachiya|Nathan Nan Liu|Jinwoo Shin,Machine learning|High-performance computing|Human-computer interaction,Regular,Nathan Nan Liu,Machine learning|Distributed computing,reject,Dolor ipsum velit dolore eius quaerat.,reject,Ut labore tempora consectetur modi modi.,Short Paper,High-performance computing|Robotics|Computer networks|Information theory
190,225480,Sergey M. Plis|Stephen McCracken|Terran Lane|Vince D. Calhoun,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/plis11a/plis11a.pdf,oa,,journals/jmlr/PlisMLC11,2019-05-29,,,,,600-608,,,,Directional Statistics on Permutations.,,,db/journals/jmlr/jmlrp15.html#PlisMLC11,,2011,Meisam Asadi|Min Li,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Computational complexity|Artificial intelligence|Computer vision,reject,Aliquam ut ut quisquam velit numquam labore.,reject,Magnam sit ut etincidunt modi velit.,Poster,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
191,225483,Carl Edward Rasmussen|Marc Peter Deisenroth|Ryan D. Turner,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/turner10a.html,oa,,journals/jmlr/TurnerDR10,2019-05-29,,,,,868-875,,,,State-Space Inference and Learning with Gaussian Processes.,,,db/journals/jmlr/jmlrp9.html#TurnerDR10,,2010,Rockwell F. Clancy|James A. Stieb,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Data mining,accept,Neque sed eius dolor.,accept,Aliquam non velit modi sit adipisci.,Poster,Computer vision|Robotics|Cloud computing|Algorithm analysis
192,225490,Luis E. Ortiz|Robert E. Schapire|Sham M. Kakade,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/ortiz07a.html,oa,,journals/jmlr/OrtizSK07,2019-05-29,,,,,347-354,,,,Maximum Entropy Correlated Equilibria.,,,db/journals/jmlr/jmlrp2.html#OrtizSK07,,2007,Andreas Eisele 0001|Gayane Grigoryan,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Machine learning|Big data,reject,Etincidunt tempora labore ut.,reject,Consectetur quiquia amet labore.,Poster,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
193,225491,Guy Lever,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/lever10a.html,oa,,journals/jmlr/Lever10,2019-05-29,,,,,437-444,,,,Relating Function Class Complexity and Cluster Structure in the Function Domain with Applications to Transduction.,,,db/journals/jmlr/jmlrp9.html#Lever10,,2010,Hossein Yahaghi|Teresa Rinaldi,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Human-computer interaction|Data mining|Computer vision,reject,Numquam quisquam aliquam dolore amet.,reject,Etincidunt non quaerat dolor amet.,Short Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
194,225493,D. Gnanaraj Thomas|J. D. Emerald|M. Humrosia Begam|M. Jayasrirani,,,ICGI,,,,conf/icgi/2012,,,http://proceedings.mlr.press/v21/jayasri12a.html,oa,,journals/jmlr/JayasriraniBTE12,2022-02-25,,,,,139-144,,,,Learning of Bi-ω Languages from Factors.,,,db/journals/jmlr/jmlrp21.html#JayasriraniBTE12,,2012,Ray Chu|A. Battermann,Tuo Zhao|Andrea Malizia|Tong Zhang 0001,Machine learning|Information theory|Computer graphics|Cybersecurity|Cryptography,Expert Group,Tuo Zhao,Cybersecurity|Big data|Cryptography,accept,Est non adipisci quaerat neque ipsum.,accept,Sit numquam adipisci labore amet.,Short Paper,Cybersecurity|Cloud computing|Big data|Artificial intelligence
195,225498,Francis R. Bach|Guillaume Obozinski|Rodolphe Jenatton,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/jenatton10a.html,oa,,journals/jmlr/JenattonOB10,2019-05-29,,,,,366-373,,,,Structured Sparse Principal Component Analysis.,,,db/journals/jmlr/jmlrp9.html#JenattonOB10,,2010,Nicholas G. Evans|Anne Schiller,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Deep learning|Data mining|Cryptography,reject,Sit quiquia labore dolor amet.,reject,Magnam labore sit etincidunt ipsum adipisci.,Demo Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
196,225500,Jinwoo Shin,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/shin12.html,oa,,journals/jmlr/Shin12,2019-05-29,,,,,1037-1045,,,,Complexity of Bethe Approximation.,,,db/journals/jmlr/jmlrp22.html#Shin12,,2012,Flordeliz Bugarin|Matteo Pascucci,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Data mining|Cryptography,reject,Sed ut dolor numquam ipsum modi consectetur.,accept,Magnam ipsum etincidunt ipsum quisquam voluptatem tempora amet.,Demo Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
197,225501,Alexander Clark|Ryo Yoshinaka,,,ICGI,,,,conf/icgi/2012,,,http://proceedings.mlr.press/v21/clark12a.html,oa,,journals/jmlr/ClarkY12,2019-05-29,,,,,84-96,,,,Beyond Semilinearity: Distributional Learning of Parallel Multiple Context-free Grammars.,,,db/journals/jmlr/jmlrp21.html#ClarkY12,,2012,Adrian Treloar|Syed Ather Hussain,Tuo Zhao|Andrea Malizia|Tong Zhang 0001,Machine learning|Information theory|Computer graphics|Cybersecurity|Cryptography,Expert Group,Tong Zhang 0001,Natural language processing|Data mining|Cybersecurity,reject,Sit quisquam eius velit etincidunt tempora.,reject,Quiquia aliquam ipsum dolor est quisquam.,Poster,Cybersecurity|Cloud computing|Big data|Artificial intelligence
198,225503,Ahmed K. Farahat|Ali Ghodsi 0001|Mohamed S. Kamel,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/farahat11a/farahat11a.pdf,oa,,journals/jmlr/FarahatGK11,2019-05-29,,,,,269-277,,,,A novel greedy algorithm for Nyström approximation.,,,db/journals/jmlr/jmlrp15.html#FarahatGK11,,2011,Douglas Walton|Tarcisio Abreu Saurin,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Deep learning|Cryptography|Computer networks,reject,Porro ut amet velit porro quisquam quaerat.,accept,Neque aliquam sed aliquam non.,Demo Paper,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
199,225506,Kareem Amin 0002|Michael J. Kearns|Umar Syed,,,COLT,,,,conf/colt/2011,,,http://proceedings.mlr.press/v19/amin11a/amin11a.pdf,oa,,journals/jmlr/AminKS11,2022-08-22,,,,,87-106,,,,"Bandits, Query Learning, and the Haystack Dimension.",,,db/journals/jmlr/jmlrp19.html#AminKS11,,2011,Manfred Laumen|Marie-France Mamzer-Bruneel,Jean-Yves Audibert|Michelle Pham|Michael Fink 0002|Verónica Romero 0001|Zsolt Minier,Computer graphics|Artificial intelligence|Machine learning,Expert Group,Zsolt Minier,Algorithm analysis|Information theory,reject,Adipisci modi aliquam quiquia.,reject,Dolore aliquam dolore quaerat dolore.,Demo Paper,Cloud computing|Cybersecurity|Algorithm analysis|Computer vision|Computer graphics
200,225507,Ann B. Lee|Boaz Nadler,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/lee07a.html,oa,,journals/jmlr/LeeN07,2019-05-29,,,,,259-266,,,,Treelets | A Tool for Dimensionality Reduction and Multi-Scale Analysis of Unstructured Data.,,,db/journals/jmlr/jmlrp2.html#LeeN07,,2007,Weishu Liu 0001|Iñigo de Miguel Beriain,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Distributed computing|Algorithm analysis,accept,Ipsum ut non est.,accept,Dolore est aliquam aliquam labore ut.,Demo Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
201,225509,Harish Karnick|Purushottam Kar,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/kar12.html,oa,,journals/jmlr/KarK12,2019-05-29,,,,,583-591,,,,Random Feature Maps for Dot Product Kernels.,,,db/journals/jmlr/jmlrp22.html#KarK12,,2012,Miguel Roig|Rachelle Hollander,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Computer graphics|Algorithm analysis|Computational complexity,reject,Porro velit sit adipisci non consectetur dolorem.,accept,Consectetur dolorem etincidunt eius voluptatem.,Full Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
202,225511,Han Liu 0001|John D. Lafferty|Larry A. Wasserman,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/liu07a.html,oa,,journals/jmlr/LiuLW07,2019-05-29,,,,,283-290,,,,Sparse Nonparametric Density Estimation in High Dimensions Using the Rodeo.,,,db/journals/jmlr/jmlrp2.html#LiuLW07,,2007,Lutz Voelkel|Fabio Somenzi,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Big data,reject,Sit ut amet dolore porro amet labore.,accept,Dolorem porro aliquam dolorem quisquam quiquia labore ut.,Demo Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
203,225519,Pannagadatta K. Shivaswamy|Tony Jebara,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/shivaswamy07a.html,oa,,journals/jmlr/ShivaswamyJ07,2019-05-29,,,,,484-491,,,,Ellipsoidal Machines.,,,db/journals/jmlr/jmlrp2.html#ShivaswamyJ07,,2007,Aamir Raoof Memon|David Koepsell,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,High-performance computing|Cloud computing,accept,Amet non eius sit modi adipisci sed.,accept,Quisquam neque est quisquam dolor etincidunt dolor.,Demo Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
204,225522,Andriy Mnih|Geoffrey E. Hinton|Ilya Sutskever|James Cook,,,AISTATS,,,,conf/aistats/2007,,,http://proceedings.mlr.press/v2/cook07a.html,oa,,journals/jmlr/CookSMH07,2019-05-29,,,,,67-74,,,,Visualizing Similarity Data with a Mixture of Maps.,,,db/journals/jmlr/jmlrp2.html#CookSMH07,,2007,Robert Kirkman|Beth A. Fischer,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Big data|Algorithm analysis,reject,Dolorem quiquia modi tempora porro.,reject,Labore est quisquam ipsum.,Short Paper,Artificial intelligence|Human-computer interaction|Robotics|Information theory|Cybersecurity
205,225530,An C. Tran|Hans W. Guesgen|Jens Dietrich 0001|Stephen Marsland,,,ACML,,,,conf/acml/2012,,,http://proceedings.mlr.press/v25/tran12c.html,oa,,journals/jmlr/TranDGM12,2019-05-29,,,,,443-458,,,,Two-way Parallel Class Expression Learning.,,,db/journals/jmlr/jmlrp25.html#TranDGM12,,2012,Rob Lawlor|Fahime Asadi,Arnaud Doucet|Yener Ülker|Rong-Bing Chiu,Artificial intelligence|Computer vision|Cryptography,Workshop,Rong-Bing Chiu,High-performance computing|Distributed computing,reject,Sit non modi etincidunt sit velit.,reject,Modi dolorem velit velit consectetur neque voluptatem quaerat.,Poster,Machine learning|Distributed computing|Cloud computing
206,225531,Akimichi Takemura|Junya Honda,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/honda12.html,oa,,journals/jmlr/HondaT12,2019-05-29,,,,,529-537,,,,Stochastic Bandit Based on Empirical Moments.,,,db/journals/jmlr/jmlrp22.html#HondaT12,,2012,Amos K. Laar|Rasheed Al Kotob,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Big data,reject,Magnam eius etincidunt consectetur quiquia.,reject,Consectetur porro labore amet porro.,Full Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
207,225533,Hugo Larochelle|Jasper Snoek|Ryan Prescott Adams,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/snoek12.html,oa,,journals/jmlr/SnoekAL12,2019-05-29,,,,,1073-1080,,,,On Nonparametric Guidance for Learning Autoencoder Representations.,,,db/journals/jmlr/jmlrp22.html#SnoekAL12,,2012,Flora Colledge|Adam Briggle,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Natural language processing|Deep learning,reject,Sit sit ut est etincidunt.,reject,Dolorem voluptatem consectetur modi.,Demo Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
208,225535,Francesco Dinuzzo|Kenji Fukumizu,,,ACML,,,,conf/acml/2011,,,http://proceedings.mlr.press/v20/dinuzzo11/dinuzzo11.pdf,oa,,journals/jmlr/DinuzzoF11,2019-05-29,,,,,181-196,,,,Learning low-rank output kernels.,,,db/journals/jmlr/jmlrp20.html#DinuzzoF11,,2011,Michel E. Adiba|Somsri Wiwanitkit,Arnaud Doucet|Yener Ülker|Rong-Bing Chiu,Artificial intelligence|Computer vision|Cryptography,Workshop,Rong-Bing Chiu,Artificial intelligence|Robotics,accept,Voluptatem amet ut non eius magnam.,accept,Porro quiquia sed dolor neque adipisci.,Demo Paper,Distributed computing|Data mining|Algorithm analysis
209,225539,H. Brendan McMahan,,,AISTATS,,,,conf/aistats/2011,,,http://proceedings.mlr.press/v15/mcmahan11b/mcmahan11b.pdf,oa,,journals/jmlr/McMahan11a,2019-05-29,,,,,525-533,,,,Follow-the-Regularized-Leader and Mirror Descent: Equivalence Theorems and L1 Regularization.,,,db/journals/jmlr/jmlrp15.html#McMahan11a,,2011,Hidekazu Kanemitsu|Matthew J. Dennis,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Distributed computing,accept,Amet porro dolorem amet dolorem.,accept,Modi consectetur quaerat consectetur dolor non tempora dolor.,Full Paper,Artificial intelligence|Computer vision|Computer graphics|Distributed computing|Cloud computing
210,225546,Giorgio Valentini|Matteo Ré,,,MLSB,,,,conf/mlsb/2009,,,http://proceedings.mlr.press/v8/re10a.html,oa,,journals/jmlr/ReV10,2019-05-29,,,,,98-111,,,,Simple ensemble methods are competitive with state-of-the-art data integration methods for gene function prediction.,,,db/journals/jmlr/jmlrp8.html#ReV10,,2010,Manfred Schmidt-Schauß|William T. Lynch,Arnon Rosenthal|Tommaso Rizzo|Amit P. Sheth|Prem Melville,Computer vision|Big data|Cybersecurity|High-performance computing|Deep learning,Expert Group,Prem Melville,Cryptography|Information theory,accept,Ut amet velit ipsum.,accept,Modi non modi voluptatem.,Short Paper,Deep learning|Robotics|Computational complexity|Computer graphics|Cryptography
211,225562,Alexander R. Statnikov|Constantin F. Aliferis|Isabelle Guyon,,,NIPS Mini-Symposium on Causality in Time Series,,,,conf/nips/2009mscts,,,http://proceedings.mlr.press/v12/guyon11.htm,oa,,journals/jmlr/GuyonSA11,2019-05-29,,,,,115-139,,,,Time Series Analysis with the Causality Workbench.,,,db/journals/jmlr/jmlrp12.html#GuyonSA11,,2011,Egon Börger|Maarten Botterman,Juho Rousu|Christian Rohrer|Steven de Rooij|François Fages,Computer vision|Big data|Robotics|Data mining,Workshop,François Fages,Human-computer interaction|Quantum computing,reject,Dolorem neque sit tempora.,accept,Velit ipsum etincidunt neque aliquam magnam.,Poster,Deep learning|Cryptography|Computer networks|Algorithm analysis|Artificial intelligence
212,225563,Aaron C. Courville|Guillaume Desjardins|Olivier Delalleau|Pascal Vincent|Yoshua Bengio,,,AISTATS,,,,conf/aistats/2010,,,http://proceedings.mlr.press/v9/desjardins10a.html,oa,,journals/jmlr/DesjardinsCBVD10,2019-05-29,,,,,145-152,,,,Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.,,,db/journals/jmlr/jmlrp9.html#DesjardinsCBVD10,,2010,Jeffrey Kovac|Tatiana Corejova,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Patricia H. Werhane,Artificial intelligence|Big data|Natural language processing,reject,Consectetur eius sit dolore modi adipisci.,reject,Ut amet tempora quaerat.,Full Paper,Computer vision|Robotics|Cloud computing|Algorithm analysis
213,225565,Bo Thiesson|Jingu Kim,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/thiesson12.html,oa,,journals/jmlr/ThiessonK12,2019-05-29,,,,,1230-1242,,,,Fast Variational Mode-Seeking.,,,db/journals/jmlr/jmlrp22.html#ThiessonK12,,2012,Christoph Lutz|Jirí Sgall,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Steven R. Smith,Cryptography|Artificial intelligence,accept,Aliquam neque dolore etincidunt numquam porro.,accept,Ut velit velit amet modi neque.,Short Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
214,225566,Chenlei Leng|Huan Xu,,,AISTATS,,,,conf/aistats/2012,,,http://proceedings.mlr.press/v22/xu12b.html,oa,,journals/jmlr/XuL12,2019-05-29,,,,,1341-1349,,,,Robust Multi-task Regression with Grossly Corrupted Observations.,,,db/journals/jmlr/jmlrp22.html#XuL12,,2012,Julio R. Tuma|Rainer Bäuerle,Patricia H. Werhane|Rainer Bäuerle|Steven R. Smith,Quantum computing|Machine learning|Cloud computing|Robotics|Computer vision,Expert Group,Rainer Bäuerle,Machine learning,accept,Ipsum quiquia adipisci ut neque ipsum sed.,accept,Numquam magnam dolore sed eius.,Demo Paper,Distributed computing|Machine learning|Computer networks|Cloud computing|Information theory
