rownum,id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-label,note-type,number,pages,publisher,publnr,publtype,sub,sup,title,title-bibtex,tt,url,volume,year,reviewers,editors,journal_keywords,supervisor,paper_keywords,decison_reviewer_0,review_reviewer_0,decison_reviewer_1,review_reviewer_1,paper_type,volume_keywords
102,103,Peter Gerstl,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS223,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Mengenkonzepte in Unifikationsgrammatiken,,,,IWBS Report 223,1992,Robert Quick|Kate Millar,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Computational complexity|Algorithm analysis|Cloud computing,accept,Dolorem numquam consectetur adipisci magnam magnam dolor.,reject,Quisquam dolore magnam aliquam.,Short Paper,Computer vision|Distributed computing|Computational complexity
103,104,Dines Bjørner|E. F. Codd|Irving L. Traiger|Kenneth L. Deckert,,,,,,,,,,,,,,"Research Report / RJ / IBM / San Jose, California",tr/ibm/RJ1200,2020-02-21,April,"republished on ""ACM SIGMOD Anthology""",,,,,,,informal,,,The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.,,,,"Research Report / RJ / IBM / San Jose, California RJ1200",1973,Julio R. Tuma|Vaman Kulkarni,Satoshi Morinaga|Brian D. Ziebart|Martin Mundhenk|Ravi Ganti,Computational complexity|Computer networks|Human-computer interaction,Satoshi Morinaga,Cloud computing|Data mining|Algorithm analysis|Natural language processing,reject,Est dolore dolor modi consectetur.,reject,Quaerat numquam dolore magnam etincidunt.,Full Paper,Cybersecurity|Machine learning|Computer vision|Artificial intelligence
104,105,Ulrike Rackow,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS221,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,On the Treatment of Compounds in Machine Translation. A Study,,,,IWBS Report 221,1992,Alexander Hufnagel|Rachel L. Mintz,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Deep learning|Artificial intelligence|Cryptography,reject,Numquam eius etincidunt sit consectetur neque.,reject,Quisquam sit quaerat eius tempora.,Full Paper,Computational complexity|Artificial intelligence|Computer networks|Cloud computing|Algorithm analysis
105,106,Claudia Maienborn,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS138,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Position und Bewegung: Zur Semantik lokaler Verben,,,,IWBS Report 138,1990,Klaus Rehkämper|Wolfgang Schönfeld,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,High-performance computing|Computer graphics|Cloud computing,reject,Quisquam numquam est labore velit tempora sed.,reject,Sed etincidunt voluptatem dolore.,Short Paper,Robotics|Computer networks|Cryptography|Cloud computing
106,107,Sonja Müller,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS217,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Zur Systematik morphologischer Paradigmen: Die deutschen Verben in der Computermorphologie,,,,IWBS Report 217,1992,Vesna Supak-Smolcic|Scott D. Gelfand,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Distributed computing|Computational complexity|Computer networks|Computer graphics,reject,Ut neque eius sed voluptatem.,accept,Labore neque etincidunt tempora numquam aliquam tempora numquam.,Short Paper,Distributed computing|Artificial intelligence|Big data|Data mining|Computer graphics
107,108,Christoph Beierle|Egon Börger,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS200,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,A WAM Extension for Type-Constraint Logic Programming: Specification and Correctness Proof,,,,IWBS Report 200,1991,Doniel Drazin|Huda Fatima,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Computer networks|Artificial intelligence|Cryptography,reject,Ut porro labore porro sed est.,accept,Ut neque ut ut ipsum etincidunt consectetur labore.,Full Paper,Cryptography|Computer vision|Cybersecurity|Natural language processing|Computational complexity
108,109,Rolf Mayer,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS178,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Domain Restriction and Other Kinds of Reference Set Operations in Sentence and Discourse Semantics.,,,,IWBS Report 178,1991,Ana Mlinaric|Emily A. Ronning,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Nic Schraudolph,Big data|Computer networks|Information theory|Cryptography,accept,Quiquia dolor labore sed.,accept,Sed consectetur dolore ipsum non quaerat est.,Full Paper,Big data|Data mining|Computational complexity
109,110,,,,,,,,,,Ulrike Weiland,,,,,IWBS Report,tr/ibm/IWBS195,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Umweltbewertung mit EXCEPT: Darstellung aus ökologischer Sicht,,,,IWBS Report 195,1991,Jürgen Pietsch|Jessica Smith Rolston,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Yongmou Liu,Computational complexity|Computer vision|Computer networks|Distributed computing|Quantum computing,reject,Dolor amet dolor etincidunt numquam.,reject,Dolore aliquam voluptatem quaerat.,Demo Paper,Computational complexity|Big data|Human-computer interaction
110,111,Rüdiger Wirth,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS84,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Lernverfahren zur Vervollständigung von Hornklauselmengen durch inverse Resolution,,,,IWBS Report 84,1989,Katarina Valaskova|Ioannis T. Pavlidis,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Yongmou Liu,Big data|Robotics|Natural language processing|Computational complexity,reject,Quisquam non dolor sed sit.,reject,Magnam consectetur voluptatem neque.,Full Paper,Cloud computing|Algorithm analysis|Computer networks|Machine learning|Big data
111,112,Holger M. Wittmann,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS170,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Ein Beispiel zur wissensbasierten Produktionsplanung mit PROTOS-L.,,,,IWBS Report 170,1991,Penelope Engel-Hills|Fahime Asadi,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,Information theory|Cryptography|Human-computer interaction|Machine learning,reject,Aliquam neque modi amet est aliquam velit neque.,accept,Amet amet sit ipsum amet dolorem.,Demo Paper,Artificial intelligence|Distributed computing|Natural language processing|Computer graphics|Quantum computing
112,113,Mechthild Rickheit,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG35,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,"Zum Begriff ""Argumentstruktur"" im Rahmen generativer worbildungstheoretischer Ansätze",,,,LILOG-Report 35,1988,Dan Perry|Kyle Powys Whyte,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Silvia Villa,Deep learning|High-performance computing|Cloud computing|Human-computer interaction|Information theory,accept,Tempora tempora dolorem ipsum dolorem dolor velit velit.,accept,Aliquam etincidunt dolore dolor aliquam quiquia sed.,Demo Paper,Distributed computing|Human-computer interaction|Computational complexity
113,114,Jan Wilms,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM5,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,"Standards für das Programmieren in Prolog für LILOG, Version 2.0",,,,LILOG-Memo 5,1987,Neha Baryah|Ali Shirzadi,Thierry C. Pauchant|Kilho Shin|D. Marx|Kim Steenstrup Pedersen,Quantum computing|Cloud computing|Distributed computing|High-performance computing|Natural language processing,D. Marx,Cloud computing|Computer networks|Human-computer interaction|Machine learning|Natural language processing,accept,Sit ut adipisci quaerat porro modi quisquam modi.,accept,Adipisci eius eius quaerat.,Short Paper,Data mining|Computational complexity|Cloud computing|Machine learning
114,115,Michael Ley,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS202,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,The Term Retrieval Abstract Machine,,,,IWBS Report 202,1991,Bor Luen Tang|Doniel Drazin,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Robotics|Natural language processing|Computer vision|Information theory,reject,Amet aliquam amet quisquam ipsum neque non dolor.,accept,Neque magnam amet aliquam quisquam aliquam.,Short Paper,Data mining|Cybersecurity|Computer networks|Algorithm analysis|Cloud computing
115,116,Bernd Abb|Kai Lebeth,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS224,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Syntaktische Analysevorschläge zur Behandlung von lokalen Präfixverben in einem System für die Generierung von Wegbeschreibungen,,,,IWBS Report 224,1992,Ahmed Fouad Bouras|Roberto Cervelló-Royo,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Nic Schraudolph,Distributed computing|Natural language processing|Computer vision|Cybersecurity|Quantum computing,accept,Sed etincidunt porro quaerat dolorem etincidunt quisquam modi.,reject,Labore sit dolore neque labore dolor ipsum ut.,Short Paper,Distributed computing|Cloud computing|Computer networks|Information theory
116,117,Gert Smolka,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS93,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Feature Constraint Logics for Unification Grammars,,,,IWBS Report 93,1989,Kyle Powys Whyte|Jan Wilms,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Yongmou Liu,Computer vision|Computer graphics|Big data|Data mining,reject,Labore dolore velit dolor modi non.,reject,Numquam sed est neque aliquam dolor.,Full Paper,Human-computer interaction|Algorithm analysis|Quantum computing|Data mining
117,118,Jörg Heinrich,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM3,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Ein Transaktionskonzept für LILOG,,,,LILOG-Memo 3,1987,Ingrid Renz|Matko Marusic,Thierry C. Pauchant|Kilho Shin|D. Marx|Kim Steenstrup Pedersen,Quantum computing|Cloud computing|Distributed computing|High-performance computing|Natural language processing,D. Marx,High-performance computing|Computer vision|Information theory|Big data,reject,Est amet neque ut aliquam adipisci.,accept,Labore tempora dolore quiquia etincidunt dolore quaerat magnam.,Full Paper,Distributed computing|Computational complexity|Robotics
118,119,Andreas Eisele 0001|Jochen Dörre,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS124,2017-09-22,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Disjunctive Unification,,,,IWBS Report 124,1990,Kurt Eberle|Teresa A. Zimmers,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Nic Schraudolph,Information theory|Data mining|Algorithm analysis|Natural language processing|Computer networks,accept,Velit ipsum aliquam amet numquam.,reject,Est numquam quisquam voluptatem amet velit.,Short Paper,Deep learning|Algorithm analysis|Computer networks|Machine learning
119,120,Rainer Bäuerle,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG43,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Ereignisse und Repräsentationen,,,,LILOG-Report 43,1988,Günther Heinemann|Leonidas G. Koniaris,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Roi Livni,Cloud computing|Natural language processing|Algorithm analysis|Data mining,reject,Numquam numquam non velit.,accept,Eius voluptatem dolor sit ipsum dolor.,Full Paper,Cybersecurity|Algorithm analysis|Cloud computing|Computer vision|Artificial intelligence
120,121,Sven Lorenz,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS234,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,On the Role of Reasoning about Change in the Projection of Presuppositions,,,,IWBS Report 234,1992,Alex John London|Blake J. Bent,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Computer vision|Distributed computing|Artificial intelligence,reject,Sit sed tempora sed porro.,reject,Dolore modi sed modi.,Demo Paper,Robotics|Computer networks|Distributed computing|Algorithm analysis
121,122,Egon Börger,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS115,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,A Logical Operational Semantics of Full Prolog Part II: Built-in Predicates for Database Manipulations,,,,IWBS Report 115,1990,Feng Cheng 0002|Christine Aicardi,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,Computer graphics|Information theory|Deep learning|Computer networks,accept,Porro numquam est tempora porro quiquia adipisci.,accept,Amet dolorem etincidunt aliquam tempora quaerat amet.,Demo Paper,Quantum computing|Robotics|Human-computer interaction|Data mining|Cloud computing
122,123,Thomas Ludwig 0001,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS102,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,A Brief Overlook of LILOG-DB,,,,IWBS Report 102,1989,Valentina Nisi|Raymond E. Spier,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alina Beygelzimer,Machine learning|Artificial intelligence|Computer networks|Cryptography,reject,Dolore dolorem neque neque.,accept,Ut ipsum velit numquam non etincidunt est.,Demo Paper,Natural language processing|Quantum computing|Distributed computing|Computer graphics|Artificial intelligence
123,124,Michael Klein,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS198,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Leistungsanalyse des Datenbanksystems LILOG-DB,,,,IWBS Report 198,1991,Ashish Patel|Stefan Börner,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Machine learning|Big data|Computational complexity|Distributed computing|Algorithm analysis,accept,Tempora sed neque quisquam sit modi dolor.,accept,Porro etincidunt dolor magnam quaerat quiquia.,Full Paper,Robotics|Cloud computing|Artificial intelligence|Computer networks
124,125,Chin-Liang Chang|E. F. Codd|Jean-Marc Cadiou|Nick Roussopoulos|Robert S. Arnold,,,,,,,,,,,,,,"Research Report / RJ / IBM / San Jose, California",tr/ibm/RJ2144,2020-02-21,January,"republished on ""ACM SIGMOD Anthology""",,,,,,,informal,,,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.,,,,"Research Report / RJ / IBM / San Jose, California RJ2144",1978,Evan Selinger|Christos Garidis,Satoshi Morinaga|Brian D. Ziebart|Martin Mundhenk|Ravi Ganti,Computational complexity|Computer networks|Human-computer interaction,Brian D. Ziebart,Cybersecurity|Computer networks|Deep learning|Robotics,accept,Quaerat voluptatem neque ut numquam voluptatem ut sit.,reject,Est consectetur amet sed ipsum.,Short Paper,Natural language processing|Human-computer interaction|Machine learning
125,126,Tibor Kiss,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS194,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,"Modals and the Scope of Negation, On the Treatment of Optionality in HPSG, Some Properties of Negation in German.",,,,IWBS Report 194,1991,Jason Borenstein|Knut Jørgen Vie,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Cloud computing|Deep learning|Natural language processing,reject,Aliquam labore labore tempora sit est ut dolore.,reject,Aliquam non ut eius tempora tempora.,Short Paper,Information theory|Big data|Machine learning|Cryptography|Quantum computing
126,127,Peter H. Schmitt|Wolfgang Wernecke,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS108,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Tableau Calculus for Order Sorted Logic,,,,IWBS Report 108,1990,R. Zieschank|Peter Rasche,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Yongmou Liu,High-performance computing|Human-computer interaction|Computer networks|Data mining|Machine learning,reject,Est quaerat consectetur labore consectetur sit amet velit.,accept,Magnam dolorem adipisci ipsum voluptatem.,Full Paper,Computer graphics|Data mining|Quantum computing|High-performance computing|Distributed computing
127,128,Roland Seiffert,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM6,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Parsingstrategien für Unifikationsgrammatiken mit ID/LP-Regeln,,,,LILOG-Memo 6,1987,Lisa M. Rasmussen|Noor Munirah Isa,Thierry C. Pauchant|Kilho Shin|D. Marx|Kim Steenstrup Pedersen,Quantum computing|Cloud computing|Distributed computing|High-performance computing|Natural language processing,Kim Steenstrup Pedersen,Information theory|Computer networks|Cloud computing|Artificial intelligence,reject,Etincidunt sed aliquam adipisci.,reject,Ut sed neque adipisci.,Short Paper,Cryptography|Computational complexity|Computer networks|Quantum computing
128,129,Albert Maier,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS99,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Sort-Lattice Management in LILOG-DB,,,,IWBS Report 99,1989,Donald Lien|William J. Frey,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Human-computer interaction|Information theory|Deep learning|Distributed computing|Machine learning,accept,Numquam velit sit aliquam ipsum.,reject,Labore tempora etincidunt tempora dolore modi modi magnam.,Full Paper,Distributed computing|Cloud computing|Computer graphics
129,130,Jochen Dörre|Roland Seiffert,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS153,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Sorted Feature Terms and Relational Dependencies,,,,IWBS Report 153,1991,Thapar Rekha|Rolf Sander,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Human-computer interaction|Cybersecurity|Computational complexity,reject,Etincidunt voluptatem porro sit.,reject,Dolor consectetur dolor dolor tempora.,Short Paper,Big data|Cloud computing|Computer graphics|Computer networks|Deep learning
130,131,Claus-Rainer Rollinger|Toni Bollinger|Ulrich Hedtstück,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS72,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Reasoning for Text Understanding - Knowledge Processing in the 1st LILOG-Prototype,,,,IWBS Report 72,1989,Ioanna Semendeferi|Gerd Kortüm,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Yongmou Liu,Computational complexity|Artificial intelligence|Deep learning,accept,Labore est magnam consectetur sed non.,reject,Numquam numquam quiquia etincidunt neque.,Full Paper,Computational complexity|Quantum computing|Artificial intelligence|Information theory
131,132,Petra Maier|Petra Steffens,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS70,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Zur Syntax pränominaler Elemente in einer kategorialen Unifikationsgrammatik des Deutschen,,,,IWBS Report 70,1989,Mónica Mendes|Giovanni Rubeis,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Distributed computing|Cryptography|High-performance computing|Computer vision|Algorithm analysis,reject,Eius tempora voluptatem dolore etincidunt etincidunt porro.,accept,Sit velit magnam sit numquam modi.,Short Paper,Cybersecurity|Distributed computing|High-performance computing
132,133,Helmar Gust|Manfred Grothaus,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG30,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Wissensbasisverwaltung für LILOG,,,,LILOG-Report 30,1988,Brian Bowe|Sepehr Pourmonajemzadeh,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Russell George Thompson,Computer graphics|Robotics|Big data,accept,Velit eius non est magnam modi.,reject,Quisquam sed consectetur voluptatem porro consectetur.,Full Paper,Cloud computing|Robotics|Computer vision|Big data
133,134,Esther König,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS80,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,How to Fit the Lambek Calculus into the Chomsky Hierarchy,,,,IWBS Report 80,1989,Alejandro P. Buchmann|Hongqin Zhao,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Computational complexity|Distributed computing|Deep learning,accept,Neque eius sed dolore sit neque.,accept,Quisquam eius neque quaerat quaerat quisquam.,Short Paper,Algorithm analysis|Computational complexity|High-performance computing|Data mining
134,135,Karin Klabunde,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS92,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Erweiterung der Wissensrepräsentationssprache L-LILOG um Konstrukte zur Spezifikation von Kontrollinformation,,,,IWBS Report 92,1989,Yeslam Al-Saggaf|Giovanni M. Pes,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Mitja Trampus,Computer vision|Cryptography|Computer networks|Cybersecurity,reject,Adipisci ut voluptatem quiquia.,accept,Ut non aliquam quaerat non.,Full Paper,Computational complexity|Artificial intelligence|Algorithm analysis|Deep learning
135,136,Karl Dotzek,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS110,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Strategien zur Pronominalisierung,,,,IWBS Report 110,1990,Jeffrey Kovac|Udo Pletat,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Nic Schraudolph,Human-computer interaction|High-performance computing|Deep learning,reject,Sed numquam quiquia adipisci.,reject,Ipsum modi ipsum quiquia dolore.,Short Paper,Machine learning|Robotics|Computer networks|Human-computer interaction|Quantum computing
136,137,H. Raymond Strong|Sai Choi Kwan,,,,,,,,,,,,,,"Research Report / RJ / IBM / San Jose, California",tr/ibm/RJ2736,2020-02-21,January,"republished on ""ACM SIGMOD Anthology""",,,,,,,informal,,,Index Path Length Evaluation for the Research Storage System of System R.,,,,"Research Report / RJ / IBM / San Jose, California RJ2736",1980,Javier Malagón|El-Sayed M. E. Mostafa,Satoshi Morinaga|Brian D. Ziebart|Martin Mundhenk|Ravi Ganti,Computational complexity|Computer networks|Human-computer interaction,Brian D. Ziebart,Cybersecurity|Data mining|Cryptography|Artificial intelligence,reject,Neque aliquam aliquam ut ipsum.,accept,Quiquia ut voluptatem dolorem porro consectetur dolorem ut.,Demo Paper,Computer graphics|Natural language processing|Algorithm analysis|Human-computer interaction|High-performance computing
137,138,Stefan J. Schierholz,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS213,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,"""Der Film öded das Publikum"" - Zum Aufbau eines maschinenlesbaren Wörterbuchs für deutsche Verben",,,,IWBS Report 213,1992,Mark F. Hornick|Mera Ababneh,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Algorithm analysis|Deep learning|Robotics|Computer graphics,accept,Dolorem dolorem adipisci quaerat.,accept,Consectetur modi dolore neque porro.,Demo Paper,Algorithm analysis|Human-computer interaction|Robotics
138,139,Roland Seiffert,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG46,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,Operationen in erweiterten Typunifikationsformalismen,,,,LILOG-Report 46,1988,Seth D. Baum|Rafal Wodzisz,Silvia Villa|Russell George Thompson|Roi Livni,Deep learning|Algorithm analysis|Data mining|Artificial intelligence|Big data,Russell George Thompson,High-performance computing|Robotics|Data mining|Machine learning|Artificial intelligence,accept,Labore sit magnam aliquam dolor quisquam sit velit.,reject,Dolore adipisci labore etincidunt amet modi amet modi.,Short Paper,Distributed computing|Artificial intelligence|Robotics|Cybersecurity|Natural language processing
139,140,Kai-Uwe Carstensen,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM11,2017-06-08,,,,,,,IBM Deutschland GmbH,,informal,,,WebS - ein System zur Generierung von Wegbeschreibungen,,,,LILOG-Memo 11,1988,Oliver Gutjahr|Pablo Rey-Mazón,Thierry C. Pauchant|Kilho Shin|D. Marx|Kim Steenstrup Pedersen,Quantum computing|Cloud computing|Distributed computing|High-performance computing|Natural language processing,Kim Steenstrup Pedersen,Deep learning|High-performance computing|Algorithm analysis|Human-computer interaction|Quantum computing,accept,Magnam quaerat etincidunt quaerat eius adipisci eius.,reject,Non amet tempora est sit labore dolor.,Short Paper,Deep learning|High-performance computing|Algorithm analysis
140,141,Nikolaus Ott,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS233,2017-06-08,,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",,informal,,,Statistische Untersuchungen an einsprachigen Zeitungstexten,,,,IWBS Report 233,1992,Andreas Eisele 0001|Juliana Andrea Arias Vergara,Alan Zimmerman|Mitja Trampus|Nic Schraudolph|Alina Beygelzimer|Yongmou Liu,Cloud computing|Artificial intelligence|Computer graphics|Robotics,Alan Zimmerman,Distributed computing|Quantum computing|Algorithm analysis|Information theory,accept,Tempora quisquam non aliquam velit velit eius dolor.,accept,Est dolore amet quiquia adipisci etincidunt quaerat neque.,Short Paper,Machine learning|Deep learning|Big data|Robotics|Quantum computing
