fullName
Reena Cheruvalath
Aurélie C. Lozano
Jorma Laaksonen
Hung-Yi Lo
Quanquan Gu
Leo Zhu
Suicheng Gu
Joseph Gonzalez 0001
Emmanuel Duflos
Daphne Koller
Eiji Takimoto
Adrienn Szabó
Arnaud Bergeron
Pedro J. Moreno 0001
Qiang Wu
Elad Mezuman
Kai-Wei Chang
Joydeep Ghosh
Yu Zhang 0006
Fernando Pereira 0003
Rob Fergus
Hubert Comon
Moritz Grosse-Wentrup
Yann N. Dauphin
Michael P. Friedlander
Omid Madani
Magalie Fromont
Marion Neumann
Paul Kidwell
Shijun Wang
Mehrdad Mahdavi
Tamás Kiss
Patrick Shafto
Nikolay G. Zagoruiko
Claudio Gentile
Finale Doshi
Alessio Moneta
Rolf Kaiser
Truyen Tran 0001
Ramez Elmasri
Krishnakumar Balasubramanian
Yanfeng Zhu 0001
Jinwoo Shin
Fabio Vitale
Eunho Yang
Jeff G. Schneider
Maria-Florina Balcan
Davide Ariu
Nicholas Navaroli
Jianying Hu
Youssouf Chherawala
Kyung-Ah Sohn
Jérôme Malick
Ulrike von Luxburg
Markus Breitenbach
Shakir Mohamed
Shie Mannor
Weiran Wang
Tibério S. Caetano
Victoria Kostina
Kai Zhang 0001
Zsolt Minier
Mark Schmidt 0001
Dale Schuurmans
Shamim A. Naqvi
Rémi Bardenet
Pannagadatta K. Shivaswamy
Matthias W. Seeger
Dumitru Erhan
Jianxin Yin
Wei-Shih Lin
Boleslaw K. Szymanski
Giovanni Puglisi
Sergey Kirshner
Decheng Dai
Satyen Kale
Sofia Mosci
Morteza Alamgir
Nan Ding 0002
Sergey Demyanov
Yongxin Taylor Xi
Catherine Oriat
HongJiang Zhang
Wee Sun Lee
Ming Yuan
François Coste
Han Xiao 0002
Philip S. Yu
Peter Orbanz
Frédéric Benhamou
Matthias Ohrnberger
Nabil R. Adam
Carsten Riggelsen
Jochen Trumpf
Kamalika Chaudhuri
Ryota Izumi
Francis R. Bach
Mark Rudelson
Marek J. Druzdzel
Sinead Williamson
Alexander G. Gray
Bastian Wemmenhove
John Turek
Romain Thibaux
Zeeshan Syed
Carsten Ullrich
Dilan Görür
Eric Riedl
Dean P. Foster
Ivica Slavkov
Stefano Spaccapietra
Mohammad R. Salavatipour
Thomas L. Griffiths 0001
Jonas Ströjby
Moustapha Cissé
Robert E. Schapire
Purnamrita Sarkar
Jason K. Johnson
Jiang Wang 0001
Henri Maître
Edoardo M. Airoldi
Nicholas G. Polson
Gilles Stoltz
Daniel J. McDonald
Fuxin Li
Levi Boyles
Yang Zhou 0033
Jens Dietrich 0001
Michael Kramp
Michael Johanson
Eduardo R. Hruschka
Carlos Guestrin
Chao Zhang 0017
Geoff Holmes 0001
Munther A. Dahleh
Frédéric Bastien
P. S. Sastry
K. Hun Mok
Richard Socher
Owen Thomas
Bernhard Schölkopf
Laëtitia Comminges
Menno van Zaanen
Prateek Jain 0002
Iñaki Inza
Sujay Sanghavi
Kilian Q. Weinberger
Joseph S. Kong
Suhrid Balakrishnan
Tianbao Yang
Avrim Blum
Arthur U. Asuncion
Jean Honorio
Minca Mramor
Antonio L. Lagarda
Iain Murray 0001
Gregor Leban
Arne Mauser
Fan Chung Graham
Andreas Töscher
Peter Antal
Wojciech Kotlowski
Vladimir Pavlovic 0001
Samy Bengio
Marina Danilevsky
Dirk Husmeier
Seyoung Kim
Uros Petrovic
Shing-hon Lau
Yee Whye Teh
Mingxuan Sun
Jun Sese
Justin Domke
Francesca Rossi
Steven de Rooij
Hartmut Neven
Élisa Fromont
Peter Spirtes
Manfred Georg
Judea Pearl
Fabian Moerchen
Myriam Côté
Jacob D. Abernethy
Yukun Chen
Koby Crammer
Justin Ma
Gérard G. Medioni
José C. Riquelme
Petri Myllymäki
Ananda Theertha Suresh
Changhu Wang
Scott Sanner
Wilfried Brauer
Jarno Vanhatalo
Donglin Niu
Emily B. Fox
Siddhartha S. Srinivasa
Andrew Y. Ng
Deepak Agarwal
Róbert Iwatt
Linda Moy
Cheng Zheng
Manabu Kuroki
Lihong Li 0001
Hiroaki Sasaki
Padhraic Smyth
Kang Liu 0001
Hang Zhang
Carter T. Butts
Karim T. Abou-Moustafa
Daria Sorokina
Gui-Bo Ye
Chen-Tse Tsai
Dan Stowell
Ryohei Fujimaki
Lev Reyzin
Sivan Sabato
Ryan Hafen
Stefan Haufe
Gerald Tesauro
Caoxie Zhang
Vince D. Calhoun
Xindong Wu 0001
Geoffrey Holmes 0001
Moninder Singh
Tianqi Chen
Narain H. Gehani
Ryota Tomioka
Yizhao Ni
Shai Fine
You Zhou 0001
Bo Dai
Martial Hebert
Elham Salehi
Anthony D. Joseph
Mauricio A. Álvarez
Adrien Couëtoux
Satish Rao
Ricky Der
Justin Lewis
Jun Takagi
Tal Hassner
Tarek Abudawood
Shivani Agarwal 0001
Zhiyong Liu 0001
Jan Peters 0001
Yang Zhang
Gerardo Hermosillo Valadez
Kohei Hayashi
Peter Cerno
Hui Zou
Jun Li 0010
H. V. Jagadish
Hong Qiao
Joel L. Wolf
Danny Goodman
Roni Khardon
Matus Telgarsky
Marius Leordeanu
Saeed Amizadeh
Dunja Mladenic
Maurizio Zazzi
Cameron E. Freer
Yuh-Ming Shyy
Jayashree Nyayachavadi
Changzhang Wang
Matthias Hein 0001
Keisuke Otaki
John Wright 0001
Paramveer S. Dhillon
Daniil Ryabko
David J. Kriegman
Mohamed Amir Esseghir
P. Bruce Berra
Vladimir Jojic
Ahmed K. Farahat
Shlomo Zilberstein
Chunquan Liang
Ayse Erkan
Ales Erjavec
Christian Bauckhage
Cosma Rohilla Shalizi
Halbert White
Timothy Hancock
Marina Meila
Andrzej Pastusiak
Adam R. Klivans
Guillermo A. Cecchi
Drew Bagnell
Warren B. Powell
Ute Schmid
Vladimir Vovk
Jan Ramon
Don Sheehy
Michael Siracusa
Patrick Doetsch
Thomas Lengauer
David A. Sontag
Benjamin Recht
Tsung-Ting Kuo
Guillaume Stempfel
Anna Choromanska
Jaakko Hollmén
Massimiliano Pontil
Zeno Gantner
Michel Dojat
György Szarvas
Shang-Tse Chen
James Tin-Yau Kwok
Kang G. Shin
Shipeng Yu
Shai Ben-David
Karin J. Metzner
Michael Gutmann
Muhammad-Naeem Irfan
Wiley Greiner
Shin-ichi Minato
Zhen James Xiang
Jingu Kim
Nial Friel
Hongxia Yang
Elena Casiraghi
Xuegang Hu
Philipp Kranen
Mátyás Brendel
Tianbing Xu
Carlos M. Carvalho
Verónica Romero 0001
David R. Kaeli
Giuseppe Claudio Guarnera
Shashi K. Gadia
Claudia Perlich
Olivier Ridoux
Margherita Caccamo
W. Nick Street
Nima Taghipour
Dongryeol Lee
Roman Garnett
Manfred Jaeger
Rina Foygel
Jan Rupnik
Nuaman Asbeh
Jean-Louis Imbert
Bernard Zenko
Guy Lebanon
John Smith Jones
Bert Huang
Mirwaes Wahabzada
Nizar Bouguila
Marc Peter Deisenroth
Tamás Éltetö
Vianney Perchet
Alexander Böhm 0003
Kevin Swersky
George C. Runger
Ambuj Tewari
John C. Platt
Aarti Singh
Sanjoy Dasgupta
Samuel Kaski
Tom Diethe
Mans Hulden
Stéphane Ross
Ya-Hsuan Chang
Yifan Hu 0001
Huijun He
Steve R. Gunn
Peter Stobbe
Dhruv Batra
Jialei Wang
Niklas Hoppe
Anthony Tran
Eftychios A. Pnevmatikakis
Gerald Matz
Ameet Talwalkar
Hamed Valizadegan
Amit Daniely
Debasis Sengupta
Daniel Lee
Guanyu Zhou
Gábor Bartók
Gyemin Lee
Brian Kulis
Frederick Eberhardt
John Walker Orr
Ivor W. Tsang
Shengbo Guo
Suresh Venkatasubramanian
Jan Lemeire
Martin Schafföner
Guy Lever
Taesup Moon
Alan Fern
Christian Buck
Tomomasa Sato
Hyokun Yun
Dan Cornford
Aaron Archer
Risi Kondor
Rohit Khandekar
Oded Shmueli
Yan Yan
Byron Boots
Lisa Hellerstein
Shuheng Zhou
Mark Dredze
Matteo Ré
Dit-Yan Yeung
David Grangier
Bao-Gang Hu
Ming Ji
Christopher D. Manning
Miroslava Sotáková
Minyoung Kim
Alexander J. Smola
Lyle H. Ungar
Michinari Momma
Tomaz Curk
Glenn Fung
David Lisuk
Prem Raj Adhikari
Petra Kaferle
Jouni Hartikainen
Michaël Perrot
Svetlana Lazebnik
Christopher C. Johnson
Daisuke Okanohara
Simon Rogers
Tim Oates 0001
Jennifer Neville
Murali Telaprolu
Lawrence K. Saul
Yufeng Liu
Alexandros Karatzoglou
Tim Bauer
George Karypis
T. Xiong
Sebastian Spiegler
Junya Honda
Hasan Ibne Akram
Thorsten Joachims
Scott Leishman
Paul N. Bennett
C.-H. Ho
Jervis Pinto
David J. Eis
Po-Wei Wang
Tadej Stajner
Michael Jahrer
Arnon Rosenthal
Jeff A. Bilmes
Jeremy Eustache
Zhi Geng
Shahed Sorower
Michal Rosen-Zvi
Masamichi Shimosaka
Gersende Fort
Eric P. Xing
Adam Craig Pocock
John W. Paisley
Gideon Dror
Jan Tretmans
Daniel D. Lee
Liu Yang 0001
Fernando Pereira
S. Tom Au
Robert J. Durrant
Alessandro Verri
Klaus-Robert Müller
Arie Segev
Chong Wang 0002
Ali Ghodsi 0001
Daniel Tarlow
Ping Li 0001
Damián López
Balázs Kégl
Tommaso Rizzo
Leonor Becerra-Bonache
Sham M. Kakade
Liam P. Maguire
Sandhya Prabhakaran
Sören Laue
Christopher Meek
André Platzer
Pascal Steingrube
Jun Liu 0003
Rafael M. Frongillo
Ben Taskar
Malte Isberner
Xiaotong Yuan
Ali Rahimi
Rui Fukui
Alexander L. Strehl
Gerhard Neumann
Bo Chen
David M. Blei
Larry J. Peterson
Sleiman Itani
Gerhard F. Ecker
Graham W. Taylor
Douglas Aberdeen
Lior Wolf
Robert D. Nowak
Ivan Titov
Helmut Schnelle
Kumar V. Vadaparty
Jorge Castro
Jonas Buchli
Joshua V. Dillon
Pavel Laskov
Arnak S. Dalalyan
Sebastiano Battiato
Qichao Que
Kareem Amin 0002
Maxim Raginsky
Junsong Yuan
Lei Shi 0009
Raghu Meka
Shizhong Liao
Rémi Munos
Hirokazu Kameyama
Gang Niu 0001
William G. Macready
Shou-De Lin
Gautam Dasarathy
Daniel Eaton
Christian Barillot
Gregory Druck
Miklós Kurucz
Pascal Vincent
Tian-Hsiang Huang
Jayadev Acharya
Takeaki Uno
Jason L. Williams
Harco Kuppens
Jochen Garcke
Jinbo Xu
Ben Recht
Josh Wills
D. Mike Titterington
Kevin H. Eng
Fides Aarts
Joris M. Mooij
Saso Dzeroski
David Luengo
Mingrui Wu
Albert Bifet
Takamitsu Matsubara
Manqi Zhao
Tommi S. Jaakkola
Carl Smith
Sylvain Pannetier Lebeuf
Hardy Kremer
Michael A. Osborne
John W. Fisher III
Vishy Vishwanathan
Cho-Jui Hsieh
Indre Zliobaite
Li Wan
Andreas Ziehe
Naoki Abe
Daan Fierens
Michael I. Jordan
Jarkko Venna
Irina Borisova
Edward Challis
Florian Steinke
David H. Stern
Antoine Rauzy
Guoqing Liu
Teresa Luu
Alexander Clark
Jacques Nicolas
Xianzhong Long
Mark J. Schervish
William S. Cleveland
Ying Wu 0001
Alona Fyshe
Shuang-Hong Yang
Avneesh Singh Saluja
Marc Sebban
Daniel L. Silver
Jonathan D. Chang
Eibe Frank
Danny Bickson
Tanguy Urvoy
Silvia Pandolfi
Xi Chen 0010
Sotirios P. Chatzis
Evangelos A. Theodorou
Marc Boullé
Cesar Koirala
Ilya Sutskever
Zoubin Ghahramani
Alexander Bockmayr
Ferenc Huszar
Andreas Wendemuth
Rafael Morales Bueno
Niklas Hack
Kuan-Wei Wu
Animashree Anandkumar
Ajit P. Singh
Antonino Freno
Sandy Clarke
Stephen J. Wright
Avishek Saha
Christophe Costa Florêncio
Carl Edward Rasmussen
Mostafa Ajallooeian
Yehuda Koren
Mehreen Saeed
Yelena Yesha
Florian Stimberg
Faisal Farooq
Lei Zhang 0001
Cristian Sminchisescu
Ming-Syan Chen
Ichiro Takeuchi
Grzegorz Swirszcz
George Zouridakis
Chieh-Yen Lin
Elad Hazan
Takafumi Kanamori
Yu-Feng Li
Michal Valko
Nadia Berthouze
Timothée Cour
Hang Li
Rong-Bing Chiu
Rómer Rosales
Stéphane Canu
Ruimin Shen
Stuart Russell 0001
Krysta M. Svore
John C. Duchi
André Filipe Torres Martins
Kai Puolamäki
Siddharth Pal
Nando de Freitas
Shahar Chen
Róbert Busa-Fekete
Qiang Liu 0001
Garry P. Nolan
Todd G. McKenzie
Vasil S. Denchev
Jake VanderPlas
Xinbo Gao 0001
An C. Tran
Donghui Wang
Taiji Suzuki
Christian Widmer
Ku-Chun Chou
Ramesh Nallapati
Adam D. Smith
Rui Diao
Guillaume Bouchard
Willem Waegeman
Stéphan Clémençon
Alexandros Kalousis
Minh Hoai Nguyen
Peter C. Lockemann
Robert B. Gramacy
Karthik Sindharan
Volkan Atalay
Dinh Q. Phung
Kevin Robert Canini
Gunnar Rätsch
Huxiang Gu
Slobodan Vucetic
Peter Orchard
Enrique Vidal 0001
Dian Gong
Jyri J. Kivinen
Hao Yang 0033
Tong Zhang 0001
Dor Kedem
Andrew Lonie
Mohamed S. Kamel
Michalis K. Titsias
Andrea Vattani
James G. Scott
Yuri Grinberg
Cheng-Hao Tsai
Stephen J. Roberts
Takashi Takenouchi
David A. Ross
Vitaly Feldman
Martin Pal
Jarvis D. Haupt
Mario Frank 0001
Katrin Tomanek
Zhiting Xu 0001
Jason Weston
Lei Wang
Francesco Dinuzzo
Alexander N. Dolia
Arun Rajkumar
Hannes P. Saal
Yuhua Li 0001
Akihiro Yamamoto
Baptiste Jeudy
Tu Bao Ho
Nathan D. Ratliff
James M. Rehg
Ron Begleiter
Shengjun Pan
Tsuyoshi Okita 0002
Morten Mørup
Hiroshi Motoda
Ryan Prescott Adams
Michael H. Bowling
Martin Mladenov
Zuzana Krifka Dobes
Duncan A. J. Blythe
Juanying Xie
Nicol N. Schraudolph
David A. McAllester
Miroslav Dudík
Michael Demel
Xin Tong
Rosie Jones
Shota Yasutake
Ananth Mohan
Yves Deville
Andreas Stuhlmüller
James Bergstra
Grégoire Montavon
Andreas P. Streich
Vikas C. Raykar
Irina Rish
Zsolt Fekete
Tijmen Tieleman
Justin Thaler
Giuseppe Nardiello
John Langford 0001
Marek Rusinkiewicz
Hans W. Guesgen
Daniel Jurafsky
Mikio L. Braun
Barbara Gängler
S. Derin Babacan
Peter V. Gehler
Sven E. Krüger
José M. Carmona-Cejudo
Tetsuya Takamori
Joey Tianyi Zhou
Hsuan-Tien Lin
Sivaraman Balakrishnan
Daniel A. McFarland
Andreas Krause 0001
Bernhard Steffen
Mário A. T. Figueiredo
Ali Taylan Cemgil
Boaz Lerner
Jacob Steinhardt
Lorand Dali
Tony Jebara
Jieping Ye
Grace Wahba
Huan Liu 0001
Byoung-Tak Zhang
Aki Vehtari
Francesco Orabona
Colin de la Higuera
Thomas S. Stepleton
Venkatesh Saligrama
Xiao Li 0006
Christoph Freudenthaler
Sanasam Ranbir Singh
Masashi Sugiyama
Yves Van de Peer
Suvrit Sra
Xiaoye Jiang
Martin Andersson
Tao Xiong
Jun'ichi Takeuchi
Lawrence Carin
Hei Chan
Lizhong Ding 0001
Jesse Read
Thomas Stibor
Guillaume Obozinski
Yin-Wen Chang
Clayton Scott
Geoffrey E. Hinton
Erick Lavoie
Akiko Takeda
Doina Precup
Francisco Casacuberta
Morteza Haghir Chehreghani
Rensheng Wang
Brent Bryan
Ole Winther
Benjamin Packer
Xiaohui Chen
Pierangela Samarati
Antoine Bordes
Steve Hanneke
Alessandro Rinaldo
Purushottam Kar
Eric Jonas
Nello Cristianini
Dorota Glowacka
Matthieu Geist
Constantine Caramanis
David Lazaridis
Chris Bracegirdle
Robert J. Butera
Jaime G. Carbonell
Yong Ge
Sameer Agarwal 0001
Thomas M. Breuel
Xun Lu
Ramani Duraiswami
Olga Kutnenko
Eugene Tuv
Matthieu Lerasle
Artin Armagan
Martin Schiegg
Wu-Jun Li
Hirakendu Das
Emilie Kaufmann
Antonio Javier Gallego Sánchez
Jin Yu
Phillip C.-Y. Sheu
Guillaume Sicard
Alon Orlitsky
Christopher Leckie
Marsel Scheer
Alexander Paprotny
Aaron C. Courville
Brian Eriksson
Michael J. Kearns
Majid Nili Ahmadabadi
Dmitry Pavlov
Lorenzo Rosasco
Jussi Kujala
Choon Hui Teo
István Bíró
Xiaohui Xie
Omar Ali
Jane de Winter
Max Dama
Nicolò Cesa-Bianchi
Anind K. Dey
A. Philip Dawid
Hans Ulrich Simon
Hossein Hajimirsadeghi
Prasun Dewan
Wray L. Buntine
Jim C. Huang
Vladimir Gorodetsky
Inderjit S. Dhillon
Xueyuan Zhou
Alekh Agarwal
Michael L. Littman
Alard Roebroeck
Kris Steenhaut
Rodolphe Jenatton
Christian Oberdörfer
Crtomir Gorup
Herbert G. Tanner
Rich Caruana 0001
Baudouin Le Charlier
Ralf Herbrich
Pierre-Antoine Manzagol
Cun-Hui Zhang
David W. Flater
Hongyuan Zha
Bharat K. Bhargava
Ivan O. Kyrgyzov
Ophir Frieder
Thom W. Frühwirth
François Fages
Peter Sunehag
Ziyu Wang 0001
Han Liu 0001
Tyler Lu
Bo Xie 0002
Mathieu Sinn
M. Pawan Kumar
Hsiang-Fu Yu
Sunho Park
Umar Syed
Guido Nolte
Gal Elidan
Leonidas J. Guibas
Wojciech Wieczorek
Tapani Raiko
Adam Coates 0002
Jue Wang
Slavé Petrovski
Yi Hu
Guang Dai
Frank D. Wood
Kurt Mehlhorn
Jasper Snoek
Po-Lung Chen
Mathieu Salzmann
Falk Howar
Cynthia Rudin
Kurt Miller
Jonas Peters
Anoop Korattikara Balan
Christopher DuBois
Masahiro Kimura
Fábio N. Kepler
Giovanni Zappella
Philippe Preux
Avleen Singh Bijral
Marcel Katz
Nir Ailon
Indraneel Mukherjee
András Millinghoffer
István Szita
Ji Won Yoon
Guillaume Desjardins
Onno Zoeter
Joemon M. Jose
Jason Eisner
Tobias Jung 0001
Franz J. Király
Rina Dechter
Katsuhiko Ishiguro
Jimmy Olsson
Daniel J. Hsu
Junhui Wang
Jiawei Han 0001
Shankar Krishnan
Matthew J. Streeter
Alexander R. Statnikov
Stanley Y. W. Su
Bodhisattva Sen
Francesco Bartolucci
Yi-Kuang Ko
Yuhong Yang
Alejandro H. Toselli
Grégoire Mesnil
Olivier Buffet
Sébastien Guérif
Qirong Ho
Yasin Abbasi-Yadkori
Mojca Mattiazzi
Jennifer G. Dy
Alexander Grubb
H. Brendan McMahan
Inmar E. Givoni
Dmitry P. Vetrov
Lawrence Cayton
Tetsuro Morimura
Kotagiri Ramamohanarao
François Savard
David A. Castañón
Weixin Xie
Giovanni Maria Farinella
Xia Ning
Constantin F. Aliferis
Fei Sha
Peter Auer
Gareth L. Jones 0001
Si-Chi Chin
Yue Guan
Ruslan Salakhutdinov
Frederik Eaton
Jerry Jenkins
Kevin Miller
Antti Ajanki
Borja Balle
Cristina Tîrnauca
Changshui Zhang
Chun-Sung Ferng
Terran Lane
Andrew Guillory
Yvette Graham
Kyle Teague
Nimalan Mahendran
Katherine A. Heller
Akshat Kumar
Sébastien Gerchinovitz
Ryan Rifkin
José M. Peña 0001
Ann B. Lee
Fares Hedayati
Daniel García-Lorenzo
M.-H. Tsai
Nathan Srebro
Sethu Vijayakumar
Jianjun Xie
João Gama 0001
Firas Hamze
Huan Xu
Mark D. Reid
Hugh Miller
Akihiro Koide
Yifei Chen
Balaji Krishnapuram
Yener Ülker
Malik Sajjad Ahmed Nadeem
Hassen Doghmen
Fabian Kaelin
Genevera I. Allen
Erick Chastain
Blaz Zupan
Le Song
Svetha Venkatesh
Jun Wang 0017
Corinna Cortes
Mladen Kolar
Niv Buchbinder
Bryan R. Conroy
Steven C. H. Hoi
Veselin Stoyanov
Sayan Mukherjee 0001
Jacob Spoelstra
Khoat Than
Jane Chandlee
Bilge Günsel
Liang Lan
Justin Kessler
David Warde-Farley
Vivekanand Gopalkrishnan
Alan S. Willsky
Charles Sutton
Battista Biggio
Suchi Saria
Min Sun
Mesrob I. Ohannessian
Rakesh Chandra
Boaz Nadler
Jing He
Elisa Bertino
Olivier Nicol
Wilfried N. Gansterer
Liefeng Bo
Ruth Urner
Charles Lee
Blake Shaw
Léon Bottou
Mario Marchand
Makoto Yamada
Wei Bian
Rui M. Castro
Olivier Pietquin
Jun Morimoto
Zhixiang Eddie Xu
Thierry Artières
Alexandre Lacoste
Markus Weimer
David Sánchez-Mendoza
Chunxia Wang
Nino Shervashidze
Kai Mao
Gregory F. Cooper
Ernest Mwebaze
Burr Settles
David B. Dunson
Lee H. Dicker
Sanjiv Kumar
Pascal Van Hentenryck
Raymond S. Smith
Timm Jansen
Felix V. Agakov
Hirotaka Hachiya
Jonathan D. Rosenblatt
Vimal Chopra
Ofer Dekel
Kitsuchart Pasupa
Siwei Lai
Nicolas Le Roux
Adrian Johnston
Lluís A. Belanche Muñoz
Azadeh Khaleghi
Kevin Sharp
Arto Klami
Andreas Ruttor
Arvind Agarwal
Tobias Petri
Stefanie Jegelka
Mario Milone
Yoram Singer
Lloyd Stoolman
Alexander Rakhlin
Yan Liu 0002
Yevgeny Seldin
Vân Anh Huynh-Thu
Vijay A. Saraswat
Karthik Sridharan
Patricia Reynaud-Bouret
Zhiyong Wang 0005
Francesca Incardona
Dacheng Tao
Tai Sing Lee
Jinfeng Zhuang
Florin Constantin
Jianbo Shi
Janardhan Rao Doppa
Mark Voortman
Chia-Jung Lee
Zhihua Zhang
Csaba Szepesvári
Adam Woznica
Christopher J. C. Burges
Seppo Virtanen
Chun-Nan Hsu
Jörg Lücke
Lauren Hannah
Aapo Hyvärinen
Mikko Koivisto
Eran Tromer
Jeffrey Heinz
Jie Fu
Homin K. Lee
Huyen Do
Patrik O. Hoyer
Marc Toussaint
Anton Chechetka
Bo Thiesson
Petri Kontkanen
Tim van Erven
Thore Graepel
Duy Nguyen-Tuong
Godehard Link
Xavier Glorot
Benjamin M. Marlin
Jeremy Jancsary
Thorsten Dickhaus
Jorge Civera
Hal Daumé III
Jesús S. Aguilar-Ruiz
Fernando De la Torre
Shane T. Jensen
Janneke van de Loo
Alexandra Carpentier
Alberto Giovanni Busetto
Ioannis G. Tollis
Pei-Pei Li 0001
Yang Liu 0021
Harish Karnick
Alexander Tsiatas
Y-Lan Boureau
John Shawe-Taylor
Jasmina Bogojeska
Yuhong Guo
Vladimir Dyubanov
Yonatan Amit
Chun-Liang Li
Trinh Minh Tri Do
Pierre Baldi
Zalán Bodó
Blaise Hanczar
Ankur P. Parikh
Yuanqing Lin
Rémi Eyraud
Yair Weiss
Arthur Gretton
Antonio Torralba 0001
Alexandru Niculescu-Mizil
Philippe Codognet
Chung-Yi Li
C.-J. Lin
Sündüz Keles
Edin Andelic
Parikshit Gopalan
Amir Globerson
Gaëlle Garet
Andrew L. Maas
Frank Scherbaum
Tamir Hazan
Shenghuo Zhu
Laura Balzano
Christopher K. I. Williams
Seongjoon Koo
Michael Siebers
Zhenhui Li
Dmitry Pechyony
Richard Scheines
Haesun Park
Michael Kallweit
Anicet R. Blanch
Roberto Franzosi
Ohad Shamir
Denver Dash
David L. Applegate
Xavier Muller
Lan Umek
Nicolás Serrano
Jiji Zhang
Dakan Wang
Kevin M. Peterson
Vikas Sindhwani
Yucheng Low
Liam Paninski
Blaine Nelson
Bernhard Pfahringer
Chen-Hung Wu
Marta E. Zorrilla
Wiebke Werft
Florin Popescu
Robin Gras
Richard S. Zemel
Mingmin Chi
Gergely Neu
Dario García-García
J. Andrew Bagnell
Chih-Jen Lin
Laurent Miclet
Zhi-Hua Zhou
Jonathan Huang
Mohammad Ghavamzadeh
Huan Liu
Linda Sellie
A. Robert Calderbank
Yun-Shan Fu
George Karabatis
Wentao Fan
Alex Po Leung
Shahriar Shariat
Hendrik Blockeel
John Blitzer
Stephen Marsland
Silvio Savarese
Élouise Smith
Sicco Verwer
Ioannis Tsamardinos
Shu-Hao Yu
Frank C. Meinecke
Gábor Lugosi
Pradeep Ravikumar
Jingyuan Lv
Kazumi Saito
Gilles Louppe
Yoshitaka Kameya
Aaron Wilson
Daniel M. Roy 0001
Yong Yu 0001
Babak Ahmadi
Nebojsa Jojic
Manfred K. Warmuth
Suleiman A. Khan
Vincent Lemaire 0001
Tuo Zhao
Alfred M. Bruckstein
Vishvas Vasuki
Mikhail Jiline
Joan-Andreu Sánchez
Klaus-Peter Zauner
Pekka Parviainen
Thomas G. Dietterich
Ankan Saha
Changyong Niu
Hiroshi Sawada
Hadi Moradi
Andriy Mnih
Mark A. Girolami
Guangqin Ma
Fei Wang 0001
David A. Van Dyk
Christopher Ré
Paul von Bünau
Ping Wang 0012
Shinichi Nakajima
Karen Sachs
Kouzou Ohara
Karsten M. Borgwardt
Ryan D. Turner
Hugo Larochelle
Kazuyuki Aihara
Jürgen Angele
Svetlana Kiritchenko
Esther Ezra
Mingyuan Zhou
Sándor Szedmák
Bertrand Haas
Michel Rueher
Arif Ghafoor
Sebastian Nowozin
Yvan Saeys
Hung-Che Lai
Julian J. McAuley
Owen Jones
Priya Krishnan Sundararajan
Nicolas Usunier
Dong Wang
Xinhua Zhang
Simo Särkkä
Botond Cseke
Fabio Aiolli
Duy Khuong Nguyen
Arun C. Surendran
Frederick H. Lochovsky
András György 0001
Mukund Narasimhan
Thomas Seidl 0001
Roger King
Trevor Darrell
Akimichi Takemura
Masayuki Takeda
Daniel Kifer
Andy Way
Ugo Montanari
Wei-Lun Su
Nelly Barbot
Olgierd Unold
Noah D. Goodman
Carl Henrik Ek
Ian J. Goodfellow
Tapio Pahikkala
Ninghui Li
Kevin P. Murphy
Noam Koenigstein
Marius Kloft
Kihyuk Sohn
Kun Zhang 0001
Geordie Rose
M. Humrosia Begam
Yi Chang 0001
Guillermo Sapiro
Katharina Morik
James Sharpnack
Dominik Janzing
Takaki Makino
Syama Sundar Rangapuram
Jean-Daniel Zucker
Zakria Hussain
Zheng Chen
Eyal Krupka
Raphael Fonteneau
Xuanhui Wang
Hans-Joachim Novak
Juho Rousu
Tom Heskes
Erik Zawadzki
Ata Kabán
Amr Ahmed
Alessandro Lazaric
Jesse Davis
Dimitris Samaras
Vassilios Stathopoulos 0002
Karim Chalak
Hava T. Siegelmann
Jing Lei 0003
Senan Doyle
Andreas Janecek
Dan Roth
J. D. Emerald
Chia-Hsuan Wang
Tianyi Zhou 0001
Noah A. Smith
David J. C. MacKay
Aurélien Garivier
Michèle Sebag
Alex Kulesza
David Vogel
Suzanne Aigrain
Christian Thurau
Christian Daniel
David R. Hardoon
Pedro M. Q. Aguiar
Vicenç Gómez
Zhao Zheng
Edward Lloyd Snelson
Sushil Jajodia
Philip M. Long
Claire Monteleoni
Andrew J. Connolly
Michael Eichler
Linda H. Zhao
Andrew B. Goldberg
Hyun-Chul Kim
Xiaojing Yuan
Steffen Grünewälder
Laurens van der Maaten
Minmin Chen
Arnaud Doucet
Giuseppe Azzaro
Fatemeh Azmandian
Yuan Yao
Max Welling
Valery A. Petrushin
Alfons Juan
Bhushan Mandhani
Ling Huang
Luca Baldassarre
Mohammad Gheshlaghi Azar
Venkat Chandrasekaran
Laura E. Brown
Loizos Michael
Han Liu
David Wingate
Marco Rosa
Vikash K. Mansinghka
Sreangsu Acharyya
Daniel Polani
Ronan Collobert
Robert C. Williamson
Ryan Mills
Chia-Mau Ni
Mohammad NasrEsfahani
Yi Zhang 0010
Subramani Mani
Elias Bareinboim
David S. Rosenberg
Chenlei Leng
Cléo Zanella Billa
Gabriele Lombardi
Tzu-Kuo Huang
Hoang Vu Nguyen
Piyush Rai
Frank Konietschke
Dávid Pál
Benjamin I. P. Rubinstein
Edwin V. Bonilla
Satyaki Mahalanabis
